접수연도,자치구코드,자치구명,법정동명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,건축년도,건물용도
2022,11680,강남구,역삼동,832,3,강남역 쉐르빌,20220523,25500,26.08,37.29,9,2014,오피스텔
2022,11320,도봉구,쌍문동,507,61,주함해븐빌C동,20220523,35500,56.85,33.32,6,2015,연립다세대
2022,11620,관악구,봉천동,866,11,관악맥스텔,20220523,14000,25.82,32.99,11,2003,오피스텔
2022,11740,강동구,천호동,15,5,지혜빌,20220523,29500,26.05,15.8,3,2018,연립다세대
2022,11500,강서구,화곡동,894,12,오경아파트,20220523,30000,25.75,0,8,2020,아파트
2022,11680,강남구,역삼동,832,3,강남역 쉐르빌,20220523,27800,27.74,39.66,4,2014,오피스텔
2022,11410,서대문구,연희동,196,1,연희궁,20220523,12000,42.38,0,4,1972,아파트
2022,11650,서초구,서초동,1442,6,스마트빌,20220523,17000,19.82,12.89,2,2015,연립다세대
2022,11740,강동구,천호동,425,3,천호역 한강 푸르지오시티,20220523,18500,25.24,35.91,16,2015,오피스텔
2022,11740,강동구,길동,415,16,청광플러스원큐브3차,20220523,14500,13.27,0,13,2014,아파트
2022,11170,용산구,용산동5가,24,0,용산파크타워(24-0),20220523,270000,149.92,0,32,2009,아파트
2022,11680,강남구,논현동,263,12,케아하우스13차,20220523,27700,18.98,12.13,1,2019,연립다세대
2022,11380,은평구,구산동,308,6,젤라빌리지,20220523,6000,30.49,14.3,-1,1992,연립다세대
2022,11740,강동구,천호동,425,5,대우 한강 베네시티,20220522,27700,43.72,56.89,7,2007,오피스텔
2022,11590,동작구,노량진동,57,1,메가스터디타워,20220521,16000,19.28,31.54,9,2015,오피스텔
2022,11500,강서구,마곡동,758,2,마곡일성트루엘플래닛,20220521,15500,21.43,29.93,11,2016,오피스텔
2022,11215,광진구,군자동,473,1,(473-1),20220521,23900,18.2,29.09,16,2019,오피스텔
2022,11215,광진구,화양동,111,102,아스하임,20220521,20200,17.15,24.24,6,2018,오피스텔
2022,11380,은평구,역촌동,25,112,JE편안한세상,20220521,27000,35.34,20.11,4,2011,연립다세대
2022,11380,은평구,응암동,123,47,(123-47),20220521,18000,38.32,18.63,3,1993,연립다세대
2022,11320,도봉구,쌍문동,494,8,금성빌라(494-8),20220521,16200,39.69,17.52,1,1993,연립다세대
2022,11710,송파구,문정동,620,0,송파푸르지오시티,20220521,30500,29.63,38.63,12,2013,오피스텔
2022,11440,마포구,아현동,437,3,고려아카데미텔,20220521,13000,19.6,23.05,14,1987,오피스텔
2022,11200,성동구,응봉동,265,151,(265-151),20220521,22000,50.4,34,-1,1995,연립다세대
2022,11260,중랑구,면목동,141,55,(141-55),20220521,16000,33.12,19.93,4,2003,연립다세대
2022,11680,강남구,역삼동,736,22,메이플라워멤버스빌오피스텔,20220521,14000,20.1,31.85,9,2006,오피스텔
2022,11350,노원구,공릉동,393,12,엘림하우스,20220520,47400,58.97,34.72,2,2022,연립다세대
2022,11350,노원구,공릉동,393,12,엘림하우스,20220520,48150,58.97,34.72,3,2022,연립다세대
2022,11350,노원구,공릉동,393,12,엘림하우스,20220520,49450,59.49,35.03,2,2022,연립다세대
2022,11350,노원구,공릉동,393,12,엘림하우스,20220520,50300,59.49,35.03,3,2022,연립다세대
